time,aX,aY,aZ,wX,wY,wZ,mX,mY,mZ
488017209657703,0.07640268,-0.7233142,9.835751,-3.8285996E-4,-9.621456E-4,-4.3279637E-5,-139.63261,-11.63031,-19.598906
488017223444110,0.07640268,-0.7233142,9.835751,-3.8285996E-4,-9.621456E-4,-4.3279637E-5,-141.49773,-12.621213,-21.266932
488017220867755,0.08837808,-0.7233142,9.842936,-3.8285996E-4,-9.621456E-4,-4.3279637E-5,-141.49773,-12.621213,-21.266932
488017229737755,0.08837808,-0.7233142,9.842936,-3.8285996E-4,6.3587725E-4,-4.3279637E-5,-141.49773,-12.621213,-21.266932
488017243444110,0.08837808,-0.7233142,9.842936,-3.8285996E-4,6.3587725E-4,-4.3279637E-5,-140.10019,-11.032187,-20.701017
488017249818016,0.08837808,-0.7233142,9.842936,-0.0014482073,0.005429944,4.8939406E-4,-140.10019,-11.032187,-20.701017
488017240948016,0.069217436,-0.7185241,9.847726,-0.0014482073,0.005429944,4.8939406E-4,-140.10019,-11.032187,-20.701017
488017263444110,0.069217436,-0.7185241,9.847726,-0.0014482073,0.005429944,4.8939406E-4,-140.44438,-11.336894,-21.454716
488017261028589,0.0620322,-0.7137339,9.833356,-0.0014482073,0.005429944,4.8939406E-4,-140.44438,-11.336894,-21.454716
488017269898589,0.0620322,-0.7137339,9.833356,-0.0014482073,0.0038319211,4.8939406E-4,-140.44438,-11.336894,-21.454716
488017283444110,0.0620322,-0.7137339,9.833356,-0.0014482073,0.0038319211,4.8939406E-4,-142.6695,-12.859882,-20.369917
488017281109526,0.07400759,-0.70415354,9.840541,-0.0014482073,0.0038319211,4.8939406E-4,-142.6695,-12.859882,-20.369917
488017289979526,0.07400759,-0.70415354,9.840541,-0.0014482073,0.0032992475,4.8939406E-4,-142.6695,-12.859882,-20.369917
488017303444110,0.07400759,-0.70415354,9.840541,-0.0014482073,0.0032992475,4.8939406E-4,-140.78949,-11.632151,-21.296768
488017301190880,0.07879776,-0.70654863,9.828565,-0.0014482073,0.0032992475,4.8939406E-4,-140.78949,-11.632151,-21.296768
488017310060880,0.07879776,-0.70654863,9.828565,0.0012151625,-0.005223537,-4.3279637E-5,-140.78949,-11.632151,-21.296768
488017323444110,0.07879776,-0.70654863,9.828565,0.0012151625,-0.005223537,-4.3279637E-5,-140.11082,-11.311534,-22.208542
488017321272651,0.08119284,-0.7137339,9.835751,0.0012151625,-0.005223537,-4.3279637E-5,-140.11082,-11.311534,-22.208542
488017330142651,0.08119284,-0.7137339,9.835751,0.0022805107,-0.0116156265,-0.0011086279,-140.11082,-11.311534,-22.208542
488017343444110,0.08119284,-0.7137339,9.835751,0.0022805107,-0.0116156265,-0.0011086279,-140.83156,-12.561044,-21.86294
488017350224787,0.08119284,-0.7137339,9.835751,0.0017478366,-0.011082951,-5.759542E-4,-140.83156,-12.561044,-21.86294
488017341354787,0.08119284,-0.6993634,9.84533,0.0017478366,-0.011082951,-5.759542E-4,-140.83156,-12.561044,-21.86294
488017363444110,0.08119284,-0.6993634,9.84533,0.0017478366,-0.011082951,-5.759542E-4,-139.31125,-11.868549,-20.340849
488017361437339,0.09077316,-0.70654863,9.840541,0.0017478366,-0.011082951,-5.759542E-4,-139.31125,-11.868549,-20.340849
488017370307339,0.09077316,-0.70654863,9.840541,0.0017478366,-0.00948493,-5.759542E-4,-139.31125,-11.868549,-20.340849
488017383444110,0.09077316,-0.70654863,9.840541,0.0017478366,-0.00948493,-5.759542E-4,-139.31125,-11.868549,-20.340849
488017381520255,0.07879776,-0.7089437,9.823775,0.0017478366,-0.00948493,-5.759542E-4,-139.31125,-11.868549,-20.340849
488017390390255,0.07879776,-0.7089437,9.823775,0.0012151625,-0.007886907,-0.0011086279,-139.31125,-11.868549,-20.340849
488017403444110,0.07879776,-0.7089437,9.823775,0.0012151625,-0.007886907,-0.0011086279,-140.13145,-11.6833105,-19.911604
488017410473380,0.07879776,-0.7089437,9.823775,1.4981464E-4,-0.0025601666,-5.759542E-4,-140.13145,-11.6833105,-19.911604
488017401603380,0.08119284,-0.71133876,9.838145,1.4981464E-4,-0.0025601666,-5.759542E-4,-140.13145,-11.6833105,-19.911604
488017423444110,0.08119284,-0.71133876,9.838145,1.4981464E-4,-0.0025601666,-5.759542E-4,-140.97403,-12.045741,-21.433823
488017421686766,0.08119284,-0.7017585,9.842936,1.4981464E-4,-0.0025601666,-5.759542E-4,-140.97403,-12.045741,-21.433823
488017430556766,0.08119284,-0.7017585,9.842936,-0.0014482073,0.007027966,0.0010220677,-140.97403,-12.045741,-21.433823
488017443444110,0.08119284,-0.7017585,9.842936,-0.0014482073,0.007027966,0.0010220677,-139.99992,-12.474811,-21.544363
488017450640255,0.08119284,-0.7017585,9.842936,-0.0030462302,0.0107566845,0.0015547423,-139.99992,-12.474811,-21.544363
488017441770255,0.06682236,-0.7185241,9.854912,-0.0030462302,0.0107566845,0.0015547423,-139.99992,-12.474811,-21.544363
488017463444110,0.06682236,-0.7185241,9.854912,-0.0030462302,0.0107566845,0.0015547423,-140.1127,-11.292637,-20.385252
