time,aX,aY,aZ,wX,wY,wZ,mX,mY,mZ
674186801978644,0.026335087,7.2182074,5.9804587,0.38426828,0.28574917,-0.055432156,-21.22388,-27.90261,-11.073044
674186802679842,0.026335087,7.2182074,5.9804587,0.40809202,0.27841878,-0.03527362,-21.22388,-27.90261,-11.073044
674186803927342,0.09815805,7.220602,6.01637,0.40809202,0.27841878,-0.03527362,-21.22388,-27.90261,-11.073044
674186806422290,0.15801051,7.206237,6.0235524,0.40809202,0.27841878,-0.03527362,-21.22388,-27.90261,-11.073044
674186805174790,0.15801051,7.206237,6.0235524,0.42641795,0.2662015,-0.011449896,-21.22388,-27.90261,-11.073044
674186807669790,0.15801051,7.206237,6.0235524,0.4459656,0.24970815,0.006876046,-21.22388,-27.90261,-11.073044
674186808917290,0.23222758,7.2182074,5.9996114,0.4459656,0.24970815,0.006876046,-21.22388,-27.90261,-11.073044
674186810164738,0.23222758,7.2182074,5.9996114,0.46795672,0.22344096,0.024591122,-21.22388,-27.90261,-11.073044
674186811412238,0.31841514,7.2134194,5.9325767,0.46795672,0.22344096,0.024591122,-21.22388,-27.90261,-11.073044
674186813907186,0.4285437,7.206237,5.8368125,0.46795672,0.22344096,0.024591122,-21.22388,-27.90261,-11.073044
674186811984998,0.4285437,7.206237,5.8368125,0.46795672,0.22344096,0.024591122,-19.698711,-28.15794,-9.550362
674186812659686,0.4285437,7.206237,5.8368125,0.4820066,0.19473031,0.03986274,-19.698711,-28.15794,-9.550362
674186815154686,0.4285437,7.206237,5.8368125,0.49727827,0.16479795,0.049636576,-19.698711,-28.15794,-9.550362
674186816402186,0.5243076,7.196661,5.7386546,0.49727827,0.16479795,0.049636576,-19.698711,-28.15794,-9.550362
674186818897134,0.6511949,7.203843,5.6428905,0.49727827,0.16479795,0.049636576,-19.698711,-28.15794,-9.550362
674186817649634,0.6511949,7.203843,5.6428905,0.50888467,0.13181125,0.05757782,-19.698711,-28.15794,-9.550362
674186821392082,0.775688,7.1846905,5.5375504,0.50888467,0.13181125,0.05757782,-19.698711,-28.15794,-9.550362
674186820144582,0.775688,7.1846905,5.5375504,0.5137716,0.09760282,0.061243005,-19.698711,-28.15794,-9.550362
674186821978071,0.775688,7.1846905,5.5375504,0.5137716,0.09760282,0.061243005,-19.258057,-28.572437,-10.323704
674186822639530,0.775688,7.1846905,5.5375504,0.5125499,0.06461613,0.0649082,-19.258057,-28.572437,-10.323704
674186823887030,0.897787,7.177508,5.456151,0.5125499,0.06461613,0.0649082,-19.258057,-28.572437,-10.323704
674186826382030,1.0103097,7.1703253,5.355599,0.5125499,0.06461613,0.0649082,-19.258057,-28.572437,-10.323704
