time,aX,aY,aZ,wX,wY,wZ,mX,mY,mZ
1556492193928,0.13388458,0.2347178,9.847726,-0.0011119572,-4.5610406E-4,2.5634916E-4,22.00635,0.20970964,-42.04504
1556492193937,0.13388458,0.2347178,9.847726,-4.660897E-5,7.657148E-5,-2.763245E-4,22.00635,0.20970964,-42.04504
1556492193938,0.13388458,0.2347178,9.847726,-4.660897E-5,7.657148E-5,-2.763245E-4,20.81037,-0.55773115,-41.2762
1556492193957,0.13388458,0.2347178,9.847726,4.860647E-4,7.657148E-5,-2.763245E-4,20.81037,-0.55773115,-41.2762
1556492193948,0.14106983,0.22992763,9.84533,4.860647E-4,7.657148E-5,-2.763245E-4,20.81037,-0.55773115,-41.2762
1556492193957,0.14106983,0.22992763,9.84533,4.860647E-4,7.657148E-5,-2.763245E-4,20.188433,0.288949,-42.241188
1556492193978,0.14106983,0.22992763,9.84533,-5.792836E-4,-9.887777E-4,-2.763245E-4,20.188433,0.288949,-42.241188
1556492193968,0.13148952,0.23711288,9.838145,-5.792836E-4,-9.887777E-4,-2.763245E-4,20.188433,0.288949,-42.241188
1556492193977,0.13148952,0.23711288,9.838145,-5.792836E-4,-9.887777E-4,-2.763245E-4,21.363943,0.68303776,-40.865032
1556492193998,0.13148952,0.23711288,9.838145,0.0010187388,0.0011419188,-8.089991E-4,21.363943,0.68303776,-40.865032
1556492193988,0.13627967,0.22274241,9.852516,0.0010187388,0.0011419188,-8.089991E-4,21.363943,0.68303776,-40.865032
1556492193998,0.13627967,0.22274241,9.852516,0.0010187388,0.0011419188,-8.089991E-4,19.540707,0.6226034,-41.81495
1556492194009,0.13627967,0.21795225,9.847726,0.0010187388,0.0011419188,-8.089991E-4,19.540707,0.6226034,-41.81495
1556492194017,0.13627967,0.21795225,9.847726,0.0010187388,0.0011419188,-8.089991E-4,20.312761,-0.6233287,-42.804424
1556492194018,0.13627967,0.21795225,9.847726,-0.0011119572,-4.5610406E-4,-8.089991E-4,20.312761,-0.6233287,-42.804424
1556492194037,0.13627967,0.21795225,9.847726,-0.0011119572,-4.5610406E-4,-8.089991E-4,20.830996,-0.18595314,-43.573135
1556492194029,0.13148952,0.23232272,9.847726,-0.0011119572,-4.5610406E-4,-8.089991E-4,20.830996,-0.18595314,-43.573135
1556492194037,0.13148952,0.23232272,9.847726,4.860647E-4,6.092442E-4,-8.089991E-4,20.830996,-0.18595314,-43.573135
1556492194057,0.13148952,0.23232272,9.847726,4.860647E-4,6.092442E-4,-8.089991E-4,21.832932,0.07074213,-41.13039
1556492194058,0.13148952,0.23232272,9.847726,4.860647E-4,7.657148E-5,-2.763245E-4,21.832932,0.07074213,-41.13039
1556492194049,0.13627967,0.23232272,9.862096,4.860647E-4,7.657148E-5,-2.763245E-4,21.832932,0.07074213,-41.13039
1556492194077,0.13627967,0.23232272,9.862096,4.860647E-4,7.657148E-5,-2.763245E-4,20.473675,-0.7448096,-43.403305
1556492194069,0.14106983,0.23711288,9.835751,4.860647E-4,7.657148E-5,-2.763245E-4,20.473675,-0.7448096,-43.403305
1556492194078,0.14106983,0.23711288,9.835751,-5.792836E-4,6.092442E-4,-2.763245E-4,20.473675,-0.7448096,-43.403305
1556492194097,0.14106983,0.23711288,9.835751,-5.792836E-4,6.092442E-4,-2.763245E-4,21.14439,-0.53709507,-42.485847
1556492194089,0.13627967,0.22034734,9.847726,-5.792836E-4,6.092442E-4,-2.763245E-4,21.14439,-0.53709507,-42.485847
