time,aX,aY,aZ,wX,wY,wZ,mX,mY,mZ
1556489444490,0.29195988,10.006643,0.68175435,0.10081856,-0.018031016,-0.07283651,-0.9135742,-41.680916,-21.087019
1556489444504,0.29195988,10.006643,0.68175435,0.10081856,-0.018031016,-0.07283651,-0.95594597,-42.606667,-21.34931
1556489444502,0.23447797,9.906051,0.6673839,0.10081856,-0.018031016,-0.07283651,-0.95594597,-42.606667,-21.34931
1556489444510,0.23447797,9.906051,0.6673839,0.11999482,-0.09953014,-0.030755267,-0.95594597,-42.606667,-21.34931
1556489444524,0.23447797,9.906051,0.6673839,0.11999482,-0.09953014,-0.030755267,1.1737633,-39.49665,-20.381174
1556489444530,0.23447797,9.906051,0.6673839,0.13970377,-0.1496015,0.008662611,1.1737633,-39.49665,-20.381174
1556489444521,0.41410896,9.649776,0.9260525,0.13970377,-0.1496015,0.008662611,1.1737633,-39.49665,-20.381174
1556489444544,0.41410896,9.649776,0.9260525,0.13970377,-0.1496015,0.008662611,0.7492161,-41.503723,-19.994047
1556489444550,0.41410896,9.649776,0.9260525,0.21108209,-0.07715783,-0.017438417,0.7492161,-41.503723,-19.994047
1556489444541,0.40213355,9.094118,0.969164,0.21108209,-0.07715783,-0.017438417,0.7492161,-41.503723,-19.994047
1556489444564,0.40213355,9.094118,0.969164,0.21108209,-0.07715783,-0.017438417,1.8909397,-41.92878,-21.317175
1556489444571,0.40213355,9.094118,0.969164,0.32294363,0.05121661,-0.06644442,1.8909397,-41.92878,-21.317175
1556489444562,0.13867477,8.691745,0.21710888,0.32294363,0.05121661,-0.06644442,1.8909397,-41.92878,-21.317175
1556489444584,0.13867477,8.691745,0.21710888,0.32294363,0.05121661,-0.06644442,1.4396229,-40.914787,-20.461882
1556489444582,-0.0577218,8.473793,-0.6547002,0.32294363,0.05121661,-0.06644442,1.4396229,-40.914787,-20.461882
1556489444590,-0.0577218,8.473793,-0.6547002,0.36662292,0.055478003,-0.055790946,1.4396229,-40.914787,-20.461882
1556489444604,-0.0577218,8.473793,-0.6547002,0.36662292,0.055478003,-0.055790946,0.76626205,-41.095734,-18.796343
1556489444602,0.04047647,8.143271,-0.9325295,0.36662292,0.055478003,-0.055790946,0.76626205,-41.095734,-18.796343
1556489444610,0.04047647,8.143271,-0.9325295,0.3069634,-0.08088655,0.018783418,0.76626205,-41.095734,-18.796343
1556489444624,0.04047647,8.143271,-0.9325295,0.3069634,-0.08088655,0.018783418,-0.55858994,-41.098442,-18.97774
1556489444622,0.49314657,7.80317,-0.85828197,0.3069634,-0.08088655,0.018783418,-0.55858994,-41.098442,-18.97774
1556489444631,0.49314657,7.80317,-0.85828197,0.24517323,-0.20926102,0.05926665,-0.55858994,-41.098442,-18.97774
1556489444644,0.49314657,7.80317,-0.85828197,0.24517323,-0.20926102,0.05926665,0.065057755,-41.96244,-19.684095
1556489444642,0.6009252,7.5349216,-1.0259377,0.24517323,-0.20926102,0.05926665,0.065057755,-41.96244,-19.684095
1556489444651,0.6009252,7.5349216,-1.0259377,0.18391572,-0.12616386,-0.05152955,0.065057755,-41.96244,-19.684095
1556489444664,0.6009252,7.5349216,-1.0259377,0.18391572,-0.12616386,-0.05152955,1.9622421,-40.328293,-19.565184
1556489444662,-0.064907044,7.041535,-1.0379131,0.18391572,-0.12616386,-0.05152955,1.9622421,-40.328293,-19.565184
1556489444671,-0.064907044,7.041535,-1.0379131,0.050214514,-0.049991466,-0.22251794,1.9622421,-40.328293,-19.565184
1556489444684,-0.064907044,7.041535,-1.0379131,0.050214514,-0.049991466,-0.22251794,1.3969402,-41.83738,-20.42029
1556489444683,-0.7858261,6.4044437,0.0063418397,0.050214514,-0.049991466,-0.22251794,1.3969402,-41.83738,-20.42029
1556489444691,-0.7858261,6.4044437,0.0063418397,-0.07176784,-0.22790459,-0.26939324,1.3969402,-41.83738,-20.42029
1556489444704,-0.7858261,6.4044437,0.0063418397,-0.07176784,-0.22790459,-0.26939324,1.3444271,-42.85398,-16.726171
1556489444703,-0.9486915,5.8511806,0.8853362,-0.07176784,-0.22790459,-0.26939324,1.3444271,-42.85398,-16.726171
1556489444711,-0.9486915,5.8511806,0.8853362,-0.107989684,-0.17889859,-0.2859061,1.3444271,-42.85398,-16.726171
1556489444724,-0.9486915,5.8511806,0.8853362,-0.107989684,-0.17889859,-0.2859061,1.5555191,-41.93524,-18.740057
1556489444731,-0.9486915,5.8511806,0.8853362,0.010796637,-0.05585087,-0.29123288,1.5555191,-41.93524,-18.740057
1556489444722,-2.225269,5.106311,1.1943016,0.010796637,-0.05585087,-0.29123288,1.5555191,-41.93524,-18.740057
1556489444744,-2.225269,5.106311,1.1943016,0.010796637,-0.05585087,-0.29123288,3.2328396,-41.518074,-19.938078
1556489444742,-2.5366297,5.527845,0.9044968,0.010796637,-0.05585087,-0.29123288,3.2328396,-41.518074,-19.938078
1556489444751,-2.5366297,5.527845,0.9044968,0.2398465,-0.12829454,-0.06324838,3.2328396,-41.518074,-19.938078
1556489444763,-2.5366297,5.527845,0.9044968,0.2398465,-0.12829454,-0.06324838,1.8585854,-42.56888,-19.464174
1556489444763,-0.67804754,5.444017,0.8134838,0.2398465,-0.12829454,-0.06324838,1.8585854,-42.56888,-19.464174
1556489444771,-0.67804754,5.444017,0.8134838,0.31868222,-0.09367073,0.1993599,1.8585854,-42.56888,-19.464174
1556489444784,-0.67804754,5.444017,0.8134838,0.31868222,-0.09367073,0.1993599,2.5597878,-41.70217,-18.576426
1556489444783,1.3841163,5.0512233,0.8997067,0.31868222,-0.09367073,0.1993599,2.5597878,-41.70217,-18.576426
1556489444791,1.3841163,5.0512233,0.8997067,0.31814954,-0.05158948,0.15354994,2.5597878,-41.70217,-18.576426
1556489444804,1.3841163,5.0512233,0.8997067,0.31814954,-0.05158948,0.15354994,1.0571327,-41.992966,-19.508577
1556489444803,-0.874444,3.7866213,1.505662,0.31814954,-0.05158948,0.15354994,1.0571327,-41.992966,-19.508577
1556489444811,-0.874444,3.7866213,1.505662,0.36023083,0.026713606,-0.2598051,1.0571327,-41.992966,-19.508577
1556489444824,-0.874444,3.7866213,1.505662,0.36023083,0.026713606,-0.2598051,2.396696,-41.55864,-15.85037
1556489444823,-3.6359713,3.7842264,0.6578036,0.36023083,0.026713606,-0.2598051,2.396696,-41.55864,-15.85037
1556489444831,-3.6359713,3.7842264,0.6578036,0.516837,0.28825656,-0.4030944,2.396696,-41.55864,-15.85037
1556489444844,-3.6359713,3.7842264,0.6578036,0.516837,0.28825656,-0.4030944,2.1779232,-42.786644,-18.230886
1556489444843,-1.7175124,4.6967516,0.042268038,0.516837,0.28825656,-0.4030944,2.1779232,-42.786644,-18.230886
1556489444852,-1.7175124,4.6967516,0.042268038,0.4119002,0.513045,-0.08029395,2.1779232,-42.786644,-18.230886
1556489444864,-1.7175124,4.6967516,0.042268038,0.4119002,0.513045,-0.08029395,1.6775131,-42.8239,-17.024176
1556489444863,1.5541669,4.5769978,1.5823045,0.4119002,0.513045,-0.08029395,1.6775131,-42.8239,-17.024176
1556489444872,1.5541669,4.5769978,1.5823045,0.10614529,0.43154585,0.046482466,1.6775131,-42.8239,-17.024176
1556489444884,1.5541669,4.5769978,1.5823045,0.10614529,0.43154585,0.046482466,2.3673,-42.22866,-16.884245
1556489444883,-0.37866256,3.7698557,1.5607488,0.10614529,0.43154585,0.046482466,2.3673,-42.22866,-16.884245
1556489444892,-0.37866256,3.7698557,1.5607488,0.17965432,0.53275394,-0.3173339,2.3673,-42.22866,-16.884245
1556489444904,-0.37866256,3.7698557,1.5607488,0.17965432,0.53275394,-0.3173339,3.4023666,-41.339737,-17.054205
1556489444903,-2.1845527,4.584183,-1.0091721,0.17965432,0.53275394,-0.3173339,3.4023666,-41.339737,-17.054205
1556489444912,-2.1845527,4.584183,-1.0091721,0.21054943,0.7953622,-0.34290224,3.4023666,-41.339737,-17.054205
1556489444924,-2.1845527,4.584183,-1.0091721,0.21054943,0.7953622,-0.34290224,4.652958,-42.9076,-15.737925
1556489444932,-2.1845527,4.584183,-1.0091721,-0.30720976,0.58815205,0.08057361,4.652958,-42.9076,-15.737925
1556489444923,-0.6972081,5.9086623,-0.51099545,-0.30720976,0.58815205,0.08057361,4.652958,-42.9076,-15.737925
1556489444944,-0.6972081,5.9086623,-0.51099545,-0.30720976,0.58815205,0.08057361,5.7926617,-43.31218,-15.085819
1556489444943,-1.3103486,6.2176275,2.2696927,-0.30720976,0.58815205,0.08057361,5.7926617,-43.31218,-15.085819
1556489444952,-1.3103486,6.2176275,2.2696927,-0.80046594,0.4949341,0.21054608,5.7926617,-43.31218,-15.085819
1556489444964,-1.3103486,6.2176275,2.2696927,-0.80046594,0.4949341,0.21054608,6.521055,-41.946617,-16.956778
1556489444972,-1.3103486,6.2176275,2.2696927,-0.7296203,0.9264,0.24836592,6.521055,-41.946617,-16.956778
1556489444964,-3.9736776,7.458279,1.0649672,-0.7296203,0.9264,0.24836592,6.521055,-41.946617,-16.956778
1556489444984,-3.9736776,7.458279,1.0649672,-0.7296203,0.9264,0.24836592,7.051484,-41.245644,-17.737371
1556489444984,-2.4192708,9.333626,-0.12059739,-0.7296203,0.9264,0.24836592,7.051484,-41.245644,-17.737371
1556489444992,-2.4192708,9.333626,-0.12059739,-0.8276323,1.0057685,0.9147413,7.051484,-41.245644,-17.737371
1556489445004,-2.4192708,9.333626,-0.12059739,-0.8276323,1.0057685,0.9147413,3.9895859,-42.99611,-17.876852
1556489445004,2.7948184,10.808996,2.6553004,-0.8276323,1.0057685,0.9147413,3.9895859,-42.99611,-17.876852
1556489445012,2.7948184,10.808996,2.6553004,-1.2921242,0.45285285,1.7015007,3.9895859,-42.99611,-17.876852
1556489445024,2.7948184,10.808996,2.6553004,-1.2921242,0.45285285,1.7015007,4.367689,-42.067055,-20.495562
