time,X,Y,Z
410940515530613,-8.146097,-16.915789,-58.84002
410940525530613,-8.716407,-18.5677,-60.752766
410940535530613,-9.309412,-17.046278,-60.22806
410940537714676,-9.309412,-17.046278,-60.22806
410940539624572,-9.309412,-17.046278,-60.22806
410940542124572,-9.309412,-17.046278,-60.22806
410940545530613,-8.65839,-17.219788,-57.92531
410940544624572,-8.65839,-17.219788,-57.92531
410940547124572,-8.65839,-17.219788,-57.92531
410940549624572,-8.65839,-17.219788,-57.92531
410940552124572,-8.65839,-17.219788,-57.92531
410940555530613,-7.8256717,-17.144577,-58.67032
410940554624572,-7.8256717,-17.144577,-58.67032
410940557124572,-7.8256717,-17.144577,-58.67032
410940559624572,-7.8256717,-17.144577,-58.67032
410940562124572,-7.8256717,-17.144577,-58.67032
410940565530613,-10.992207,-17.601547,-59.63186
410940564624572,-10.992207,-17.601547,-59.63186
410940567124572,-10.992207,-17.601547,-59.63186
410940569624572,-10.992207,-17.601547,-59.63186
410940572124572,-10.992207,-17.601547,-59.63186
410940575530613,-8.658079,-17.222937,-58.22919
410940574624572,-8.658079,-17.222937,-58.22919
410940577124572,-8.658079,-17.222937,-58.22919
410940579624572,-8.658079,-17.222937,-58.22919
410940582124572,-8.658079,-17.222937,-58.22919
410940585530613,-9.989493,-17.352722,-57.94882
410940584624572,-9.989493,-17.352722,-57.94882
410940587124572,-9.989493,-17.352722,-57.94882
410940589624572,-9.989493,-17.352722,-57.94882
410940595530613,-10.260517,-16.075836,-58.77382
410940592124572,-10.260517,-16.075836,-58.77382
410940594624572,-10.260517,-16.075836,-58.77382
410940597124572,-10.260517,-16.075836,-58.77382
410940599624572,-10.260517,-16.075836,-58.77382
410940602124572,-10.260517,-16.075836,-58.77382
410940605530613,-7.2395873,-15.265284,-60.264095
410940604624572,-7.2395873,-15.265284,-60.264095
410940607124572,-7.2395873,-15.265284,-60.264095
410940609624572,-7.2395873,-15.265284,-60.264095
410940613907540,-7.2395873,-15.265284,-60.264095
410940612124572,-7.2395873,-15.265284,-60.264095
410940615530613,-8.800233,-16.710785,-58.103954
410940614624572,-8.800233,-16.710785,-58.103954
410940614624572,-8.800233,-16.710785,-58.103954
410940617124572,-8.800233,-16.710785,-58.103954
410940617124572,-8.800233,-16.710785,-58.103954
410940619624572,-8.800233,-16.710785,-58.103954
410940619624572,-8.800233,-16.710785,-58.103954
410940622124572,-8.800233,-16.710785,-58.103954
