time,aX,aY,aZ,wX,wY,wZ,mX,mY,mZ
6.85904E+12,4.8809333,6.112244,6.822739,0.3736509,0.46863002,0.78964597,-84.03559,-77.18791,-15.793936
6.85906E+12,4.8809333,6.112244,6.822739,-0.11853995,0.58368754,0.5142535,-84.03559,-77.18791,-15.793936
6.85905E+12,6.250919,7.0559053,6.3221674,-0.11853995,0.58368754,0.5142535,-84.03559,-77.18791,-15.793936
6.85906E+12,6.250919,7.0559053,6.3221674,-0.11853995,0.58368754,0.5142535,-83.83463,-76.36003,-13.851417
6.85908E+12,6.250919,7.0559053,6.3221674,-0.08018742,-0.1945492,-0.18408217,-83.83463,-76.36003,-13.851417
6.85907E+12,2.124196,5.537425,8.429838,-0.08018742,-0.1945492,-0.18408217,-83.83463,-76.36003,-13.851417
6.85908E+12,2.124196,5.537425,8.429838,-0.08018742,-0.1945492,-0.18408217,-83.95241,-75.32068,-13.7499485
6.8591E+12,2.124196,5.537425,8.429838,0.037533548,-0.3644722,-0.14466427,-83.95241,-75.32068,-13.7499485
6.85909E+12,-0.01700544,4.617714,9.162733,0.037533548,-0.3644722,-0.14466427,-83.95241,-75.32068,-13.7499485
6.8591E+12,-0.01700544,4.617714,9.162733,0.037533548,-0.3644722,-0.14466427,-83.306076,-75.64016,-12.8087225
6.85912E+12,-0.01700544,4.617714,9.162733,-0.11108252,0.13677405,0.451398,-83.306076,-75.64016,-12.8087225
6.85911E+12,3.5420835,5.8272295,7.2873845,-0.11108252,0.13677405,0.451398,-83.306076,-75.64016,-12.8087225
6.85912E+12,3.5420835,5.8272295,7.2873845,-0.11108252,0.13677405,0.451398,-83.303116,-75.67008,-15.6956
6.85913E+12,5.54437,6.4427648,6.39881,-0.11108252,0.13677405,0.451398,-83.303116,-75.67008,-15.6956
6.85914E+12,5.54437,6.4427648,6.39881,-0.30071446,0.13091463,0.49188122,-83.303116,-75.67008,-15.6956
6.85914E+12,5.54437,6.4427648,6.39881,-0.30071446,0.13091463,0.49188122,-86.00285,-76.71729,-14.795325
6.85915E+12,4.763574,5.5230546,7.9867477,-0.30071446,0.13091463,0.49188122,-86.00285,-76.71729,-14.795325
6.85916E+12,4.763574,5.5230546,7.9867477,-0.51964355,0.032369934,0.122738086,-86.00285,-76.71729,-14.795325
6.85916E+12,4.763574,5.5230546,7.9867477,-0.51964355,0.032369934,0.122738086,-84.15522,-76.12966,-13.869178
6.85917E+12,2.176888,4.5410714,8.540012,-0.51964355,0.032369934,0.122738086,-84.15522,-76.12966,-13.869178
6.85918E+12,2.176888,4.5410714,8.540012,-0.49993458,0.20655435,-0.030672038,-84.15522,-76.12966,-13.869178
6.85918E+12,2.176888,4.5410714,8.540012,-0.49993458,0.20655435,-0.030672038,-84.78481,-75.39904,-13.30882
6.8592E+12,3.3840082,5.434437,6.868246,-0.49993458,0.20655435,-0.030672038,-84.78481,-75.39904,-13.30882
6.8592E+12,3.3840082,5.434437,6.868246,-0.36676604,0.4659666,0.42849296,-84.78481,-75.39904,-13.30882
6.8592E+12,3.3840082,5.434437,6.868246,-0.36676604,0.4659666,0.42849296,-84.908356,-74.49464,-13.505292
6.85922E+12,6.042547,6.4451604,6.341328,-0.36676604,0.4659666,0.42849296,-84.908356,-74.49464,-13.505292
6.85922E+12,6.042547,6.4451604,6.341328,-0.5968812,0.595939,0.74064,-84.908356,-74.49464,-13.505292
6.85922E+12,6.042547,6.4451604,6.341328,-0.5968812,0.595939,0.74064,-84.20514,-73.64839,-14.592774
6.85924E+12,6.042547,6.4451604,6.341328,-0.9186164,0.54054093,0.56166154,-84.20514,-73.64839,-14.592774
6.85924E+12,5.225825,6.0787134,8.391517,-0.9186164,0.54054093,0.56166154,-84.20514,-73.64839,-14.592774
6.85924E+12,5.225825,6.0787134,8.391517,-0.9186164,0.54054093,0.56166154,-86.905014,-74.69404,-13.540558
6.85926E+12,3.9612224,5.439226,9.06693,-0.9186164,0.54054093,0.56166154,-86.905014,-74.69404,-13.540558
6.85926E+12,3.9612224,5.439226,9.06693,-0.72791916,0.4542478,0.4279603,-86.905014,-74.69404,-13.540558
6.85926E+12,3.9612224,5.439226,9.06693,-0.72791916,0.4542478,0.4279603,-86.072296,-74.61883,-14.285568
6.85928E+12,3.9612224,5.439226,9.06693,-0.2852669,0.32960206,0.43488508,-86.072296,-74.61883,-14.285568
6.85928E+12,3.9612224,5.439226,9.06693,-0.2852669,0.32960206,0.43488508,-85.86715,-73.83346,-16.445454
6.85928E+12,3.712134,5.1015205,7.6729927,-0.2852669,0.32960206,0.43488508,-85.86715,-73.83346,-16.445454
6.8593E+12,3.736085,6.061947,6.5377245,-0.2852669,0.32960206,0.43488508,-85.86715,-73.83346,-16.445454
6.8593E+12,3.736085,6.061947,6.5377245,-0.2852669,0.32960206,0.43488508,-84.23563,-74.30739,-14.563066
6.8593E+12,3.736085,6.061947,6.5377245,-0.17979747,0.23265538,0.5819031,-84.23563,-74.30739,-14.563066
6.85932E+12,3.736085,6.061947,6.5377245,-0.48129097,0.16553845,0.6607389,-84.23563,-74.30739,-14.563066
6.85932E+12,5.575506,7.2020054,7.0646424,-0.48129097,0.16553845,0.6607389,-84.23563,-74.30739,-14.563066
6.85932E+12,5.575506,7.2020054,7.0646424,-0.48129097,0.16553845,0.6607389,-86.496735,-73.10283,-15.885096
6.85934E+12,5.575506,7.2020054,7.0646424,-0.5223069,-0.24515323,0.32249087,-86.496735,-73.10283,-15.885096
6.85934E+12,5.185108,7.094227,9.502834,-0.5223069,-0.24515323,0.32249087,-86.496735,-73.10283,-15.885096
6.85934E+12,5.185108,7.094227,9.502834,-0.5223069,-0.24515323,0.32249087,-86.46812,-72.424934,-14.091514
6.85936E+12,5.185108,7.094227,9.502834,-0.12013797,-0.490716,-0.048250277,-86.46812,-72.424934,-14.091514
6.85936E+12,3.0127707,6.7277794,9.783059,-0.12013797,-0.490716,-0.048250277,-86.46812,-72.424934,-14.091514
6.85936E+12,3.0127707,6.7277794,9.783059,-0.12013797,-0.490716,-0.048250277,-86.80058,-72.46132,-14.401273
6.85938E+12,2.7493117,7.249907,7.565214,-0.12013797,-0.490716,-0.048250277,-86.80058,-72.46132,-14.401273
6.85938E+12,2.7493117,7.249907,7.565214,-0.12013797,-0.490716,-0.048250277,-85.98725,-72.770485,-14.064872
6.85938E+12,2.7493117,7.249907,7.565214,0.16217926,-0.5541042,-0.16650394,-85.98725,-72.770485,-14.064872
6.8594E+12,2.7493117,7.249907,7.565214,-0.22614011,-0.49178132,-0.25439513,-85.98725,-72.770485,-14.064872
6.8594E+12,2.7493117,7.249907,7.565214,-0.22614011,-0.49178132,-0.25439513,-86.61684,-72.039856,-13.504515
6.8594E+12,2.907387,8.23189,6.573651,-0.22614011,-0.49178132,-0.25439513,-86.61684,-72.039856,-13.504515
6.85942E+12,2.907387,8.23189,6.573651,-1.0331413,-0.2009413,-0.36892006,-86.61684,-72.039856,-13.504515
6.85942E+12,2.907387,8.23189,6.573651,-1.0331413,-0.2009413,-0.36892006,-86.96212,-72.33354,-13.194626
6.85942E+12,4.1504335,8.639052,8.058601,-1.0331413,-0.2009413,-0.36892006,-86.96212,-72.33354,-13.194626
6.85944E+12,4.1504335,8.639052,8.058601,-1.0331413,-0.2009413,-0.36892006,-85.92472,-71.46824,-15.6437
6.85944E+12,4.1504335,8.639052,8.058601,-1.3154584,-0.17537294,-0.7551087,-85.92472,-71.46824,-15.6437
6.85944E+12,3.7552452,7.597194,9.821381,-1.3154584,-0.17537294,-0.7551087,-85.92472,-71.46824,-15.6437
6.85946E+12,3.7552452,7.597194,9.821381,-1.3154584,-0.17537294,-0.7551087,-88.91531,-71.61822,-14.03119
6.85946E+12,2.7900283,6.1649365,9.656119,-1.3154584,-0.17537294,-0.7551087,-88.91531,-71.61822,-14.03119
6.85946E+12,2.7900283,6.1649365,9.656119,-1.0267493,-0.4156089,-1.1482223,-88.91531,-71.61822,-14.03119
6.85948E+12,2.0547388,4.708727,9.349549,-1.0267493,-0.4156089,-1.1482223,-88.91531,-71.61822,-14.03119
6.85948E+12,2.0547388,4.708727,9.349549,-1.0267493,-0.4156089,-1.1482223,-86.76963,-71.807045,-14.886806
6.85948E+12,2.0547388,4.708727,9.349549,-0.9841353,-0.4390466,-1.3362561,-86.76963,-71.807045,-14.886806
6.8595E+12,2.3062222,3.3411365,10.3459015,-0.9841353,-0.4390466,-1.3362561,-86.76963,-71.807045,-14.886806
6.8595E+12,2.3062222,3.3411365,10.3459015,-0.9841353,-0.4390466,-1.3362561,-85.46307,-72.19974,-14.687586
6.85951E+12,2.3062222,3.3411365,10.3459015,-1.1583197,-0.38577917,-1.3863275,-85.46307,-72.19974,-14.687586
6.85952E+12,2.2080238,3.1686907,12.899057,-1.1583197,-0.38577917,-1.3863275,-85.46307,-72.19974,-14.687586
6.85952E+12,2.2080238,3.1686907,12.899057,-1.1583197,-0.38577917,-1.3863275,-83.83046,-72.68469,-13.868784
6.85953E+12,2.2080238,3.1686907,12.899057,-0.98946196,-0.63720137,-1.4433235,-83.83046,-72.68469,-13.868784
6.85954E+12,2.2080238,3.1686907,12.899057,-0.98946196,-0.63720137,-1.4433235,-83.76917,-71.36985,-14.232083
6.85955E+12,2.2080238,3.1686907,12.899057,-0.43707904,-0.66063905,-1.5008523,-83.76917,-71.36985,-14.232083
6.85954E+12,1.7481685,3.74351,11.941026,-0.43707904,-0.66063905,-1.5008523,-83.76917,-71.36985,-14.232083
6.85957E+12,1.7481685,3.74351,11.941026,-0.07006661,-0.5865974,-1.5221592,-83.76917,-71.36985,-14.232083
6.85956E+12,1.7481685,3.74351,11.941026,-0.07006661,-0.5865974,-1.5221592,-85.45165,-71.92826,-13.939765
6.85956E+12,1.4272277,4.311144,9.150757,-0.07006661,-0.5865974,-1.5221592,-85.45165,-71.92826,-13.939765
6.85959E+12,1.4272277,4.311144,9.150757,-0.07272998,-0.74853027,-1.5035157,-85.45165,-71.92826,-13.939765
